amp_id,species,mic_ug_per_ml,n_measurements
252,escherichia coli,8.0,1
252,staphylococcus aureus,8.0,1
252,pseudomonas aeruginosa,32.0,1
253,escherichia coli,8.0,1
253,staphylococcus aureus,8.0,1
253,pseudomonas aeruginosa,16.0,1
254,escherichia coli,256.0,1
254,staphylococcus aureus,256.0,1
254,pseudomonas aeruginosa,256.0,1
255,escherichia coli,8.0,1
255,staphylococcus aureus,16.0,1
255,pseudomonas aeruginosa,16.0,1
265,bacillus subtilis,500.0,1
265,escherichia coli,500.0,1
266,bacillus subtilis,500.0,1
266,escherichia coli,500.0,1
267,bacillus subtilis,100.0,1
267,escherichia coli,100.0,1
268,bacillus subtilis,10.0,1
268,escherichia coli,10.0,1
269,bacillus subtilis,10.0,1
269,escherichia coli,10.0,1
269,pseudomonas aeruginosa,10.0,1
269,staphylococcus aureus,50.0,2
270,bacillus subtilis,10.0,1
270,escherichia coli,10.0,1
271,bacillus subtilis,10.0,1
271,escherichia coli,10.0,1
272,bacillus subtilis,10.0,1
272,escherichia coli,10.0,1
273,bacillus subtilis,100.0,1
273,escherichia coli,100.0,1
274,bacillus subtilis,500.0,1
274,escherichia coli,500.0,1
275,bacillus subtilis,10.0,1
275,escherichia coli,20.0,1
276,escherichia coli,0.005,1
276,pseudomonas aeruginosa,0.619,1
276,klebsiella pneumoniae,0.145,1
277,escherichia coli,0.005,1
277,pseudomonas aeruginosa,0.643,1
277,klebsiella pneumoniae,0.643,1
278,escherichia coli,0.3,1
278,pseudomonas aeruginosa,0.005,1
278,klebsiella pneumoniae,0.01,1
279,escherichia coli,0.01,1
279,pseudomonas aeruginosa,0.005,1
279,klebsiella pneumoniae,0.005,1
280,escherichia coli,0.173,1
280,pseudomonas aeruginosa,0.005,1
280,klebsiella pneumoniae,0.692,1
281,escherichia coli,0.518,1
281,pseudomonas aeruginosa,0.004,1
281,klebsiella pneumoniae,0.004,1
282,escherichia coli,0.114,1
282,pseudomonas aeruginosa,0.004,1
282,klebsiella pneumoniae,0.458,1
283,bacillus subtilis,12.0,3
283,staphylococcus aureus,23.0,3
283,escherichia coli,12.666666666666666,3
284,bacillus subtilis,9.0,2
284,staphylococcus aureus,9.0,2
284,escherichia coli,9.0,2
285,bacillus subtilis,18.0,2
285,staphylococcus aureus,34.0,2
285,escherichia coli,17.0,2
286,bacillus subtilis,1.0,2
286,staphylococcus aureus,2.0,2
286,escherichia coli,1.0,2
287,bacillus subtilis,34.0,2
287,staphylococcus aureus,34.0,2
287,escherichia coli,34.0,2
288,bacillus subtilis,64.0,2
288,staphylococcus aureus,64.0,2
288,escherichia coli,64.0,2
289,bacillus subtilis,56.4,5
289,staphylococcus aureus,46.76470588235294,17
289,escherichia coli,47.234375,16
289,staphylococcus epidermidis,39.666666666666664,3
289,pseudomonas aeruginosa,48.125,10
289,klebsiella pneumoniae,55.0,2
